category_id,name
0,Бытовая электроника|Телефоны|iPhone
1,Бытовая электроника|Ноутбуки
2,Бытовая электроника|Телефоны|Samsung
3,Бытовая электроника|Планшеты и электронные книги|Планшеты
4,"Бытовая электроника|Игры, приставки и программы|Игровые приставки"
5,Бытовая электроника|Аудио и видео|Телевизоры и проекторы
6,Бытовая электроника|Телефоны|Другие марки
7,Бытовая электроника|Настольные компьютеры
8,"Бытовая электроника|Игры, приставки и программы|Игры для приставок"
9,Бытовая электроника|Телефоны|Аксессуары|Чехлы и плёнки
10,Бытовая электроника|Телефоны|Nokia
11,Бытовая электроника|Телефоны|Sony
12,"Бытовая электроника|Аудио и видео|Акустика, колонки, сабвуферы"
13,Бытовая электроника|Товары для компьютера|Мониторы
14,Бытовая электроника|Товары для компьютера|Сетевое оборудование
15,Для дома и дачи|Ремонт и строительство|Стройматериалы
16,"Для дома и дачи|Мебель и интерьер|Кровати, диваны и кресла"
17,Для дома и дачи|Ремонт и строительство|Инструменты
18,Для дома и дачи|Мебель и интерьер|Шкафы и комоды
19,"Для дома и дачи|Мебель и интерьер|Предметы интерьера, искусство"
20,Для дома и дачи|Посуда и товары для кухни|Посуда
21,Для дома и дачи|Ремонт и строительство|Сантехника и сауна
22,Для дома и дачи|Мебель и интерьер|Столы и стулья
23,Для дома и дачи|Мебель и интерьер|Другое
24,Для дома и дачи|Растения
25,Для дома и дачи|Ремонт и строительство|Двери
26,Для дома и дачи|Бытовая техника|Для дома|Стиральные машины
27,Для дома и дачи|Мебель и интерьер|Текстиль и ковры
28,Для дома и дачи|Мебель и интерьер|Освещение
29,Для дома и дачи|Бытовая техника|Для кухни|Мелкая кухонная техника
30,Личные вещи|Товары для детей и игрушки|Игрушки
31,"Личные вещи|Одежда, обувь, аксессуары|Аксессуары"
32,Личные вещи|Товары для детей и игрушки|Детские коляски
33,"Личные вещи|Одежда, обувь, аксессуары|Женская одежда|Верхняя одежда"
34,Личные вещи|Товары для детей и игрушки|Детская мебель
35,"Личные вещи|Одежда, обувь, аксессуары|Женская одежда|Платья и юбки"
36,Личные вещи|Часы и украшения|Часы
37,Личные вещи|Красота и здоровье|Приборы и аксессуары
38,"Личные вещи|Одежда, обувь, аксессуары|Женская одежда|Другое"
39,"Личные вещи|Одежда, обувь, аксессуары|Женская одежда|Обувь"
40,Личные вещи|Часы и украшения|Ювелирные изделия
41,Личные вещи|Товары для детей и игрушки|Товары для кормления
42,Хобби и отдых|Спорт и отдых|Зимние виды спорта
43,Хобби и отдых|Книги и журналы|Книги
44,Хобби и отдых|Коллекционирование|Другое
45,Хобби и отдых|Коллекционирование|Монеты
46,Хобби и отдых|Спорт и отдых|Фитнес и тренажёры
47,Хобби и отдых|Спорт и отдых|Другое
48,Хобби и отдых|Билеты и путешествия|Путешествия
49,Хобби и отдых|Охота и рыбалка
50,Хобби и отдых|Музыкальные инструменты|Гитары и другие струнные
51,Хобби и отдых|Книги и журналы|Учебная литература
52,Хобби и отдых|Музыкальные инструменты|Для студии и концертов
53,Хобби и отдых|Велосипеды|Запчасти и аксессуары
